state,x,y
Kerala,-100,-150
Tamil Nadu,-50,-150
Andhra Pradesh,-50,-100
Karnataka,-100,-100
Goa,-125,-90
Telangana,-50,-60
Maharashtra,-100,-30
Gujarat,-150,10
Madhya Pradesh,-90,10
Chattisgarh,-10,0
Odisha,10,-20
Rajasthan,-135,60
Jharkhand,25,25
West Bengal,55,20
Mizoram,130,15
Tripura,110,30
Meghalaya,105,55
Manipur,145,45
Nagaland,145,65
Assam,125,75
Arunachal Pradesh,140,110
Sikkim,70,80
Bihar,25,55
Uttar Pradesh,-50,75
Haryana,-80,100
Punjab,-100,120
Uttarakhand,-50,110
Himachal Pradesh,-70,135
Jammukashmir,-110,160